173;15;SUCUA
212;22;SUCUMBIOS  (LA BONITA)
29;3;SUSCAL
174;15;TAISHA
213;22;TARAPOA
180;16;TENA
223;23;TISALEO
175;15;TIWINTZA
163;14;TOSAGUA
35;4;TULCAN
104;10;URBINA JADO
137;13;URDANETA
138;13;VALENCIA
139;13;VENTANAS
140;13;VINCES
230;24;YACUAMBI
231;24;YANZATZA
232;24;ZAMORA
127;12;ZAPOTILLO
67;7;ZARUMA
